id,name,country,ico,ic_dph,dic,municipality,postal_code,property_registration_number,street_name,vat_payer,building_number,category,created_date,last_modified_date,created_by,last_modified_by,color,image,image_content_type
259,Tomáš Valkay,Slovensko,46381732,SK1084309600,1084309600,Košice - mestská časť Staré Mesto,04001,938,Vodná,b'\x01',2,Stravovanie/Reštaurácie a kaviarne,2024-09-30 13:07:05,2024-09-30 13:07:13,7,7,,,
260,"Spusta Café StM, s. r. o.",Slovensko,35803568,SK2020235569,2020235569,Bratislava - mestská časť Petržalka,85101,6,Pifflova,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-09-30 13:07:32,2024-09-30 13:07:40,7,7,,,
261,GELATO KOŠICE s.r.o.,Slovensko,53462564,SK2121377654,2121377654,Košice - mestská časť Staré Mesto,04001,113,Hlavná,b'\x01',21,,2024-09-30 13:08:29,2024-09-30 13:08:29,7,7,,,
262,Primark Slovakia s. r. o.,Slovensko,50611933,SK2120394188,2120394188,Bratislava - mestská časť Staré Mesto,81103,3,Staromestská,b'\x01',,Oblečenie a obuv/Topánky,2024-10-15 19:19:04,2024-10-15 19:20:45,21,system,,,
263,Bistro St. Germain s. r. o.,Slovensko,45545642,SK2023035575,2023035575,Bratislava - mestská časť Staré Mesto,81108,7,Rajská,b'\x01',,,2024-10-24 11:19:00,2024-10-24 11:19:00,7,7,,,
264,Arton Djeladini,Slovensko,47612614,SK3021311997,3021311997,Senica,90501,7,Námestie oslobodenia,b'\x01',24,Stravovanie/Reštaurácie a kaviarne,2024-10-24 11:22:42,2024-10-24 11:22:46,7,7,,,
265,Alza.sk s. r. o.,Slovensko,36562939,SK2021863811,2021863811,Bratislava - mestská časť Nové Mesto,83102,1D,Sliačska,b'\x01',,Stravovanie/Potraviny,2024-10-24 11:27:11,2024-10-24 19:20:53,7,system,,,
266,Sport & Art spol.s r.o.,Slovensko,35689064,SK2020323525,2020323525,Bratislava - mestská časť Ružinov,82101,49,Zálužická,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-10-24 11:27:39,2024-10-24 11:27:44,7,7,,,
267,FaxCopy a.s.,Slovensko,35729040,SK7020000130,2020242070,Bratislava - mestská časť Ružinov,82105,15,Domkárska,b'\x01',,Vzdelanie/Učebnice a školské potreby,2024-10-24 11:29:26,2024-10-24 19:20:53,7,system,,,
268,Kultúrne a informačné centrum mesta Kremnica,Slovensko,37999095,SK2022061921,2022061921,Kremnica,96701,35,Štefánikovo námestie,b'\x01',44,Stravovanie/Potraviny,2024-10-24 11:37:21,2024-10-24 19:20:53,7,system,,,
269,MB BH s.r.o.,Slovensko,55977596,SK2122153660,2122153660,Košice - mestská časť Barca,04017,28,Pri Pošte,b'\x00',8,Stravovanie/Reštaurácie a kaviarne,2024-10-24 11:40:04,2024-10-24 19:20:53,7,system,,,
270,TESCOMA s.r.o.,Slovensko,31343988,SK2020441654,2020441654,Púchov,02001,1495,Nimnická cesta,b'\x01',21,Ostatné výdavky/Darčeky,2024-10-24 11:40:21,2024-10-24 19:20:53,7,system,,,
271,"APIMEX, spol. s r.o.",Slovensko,34108530,SK2020373113,2020373113,Veľké Úľany,92522,586,Hlavná,b'\x01',,,2024-11-04 07:47:56,2024-11-04 07:47:56,7,7,,,
272,DEICHMANN-OBUV SK s.r.o.,Slovensko,35898933,SK2021876461,2021876461,Dunajská Streda,92901,1, ulica Logistického parku,b'\x01',,Oblečenie a obuv/Topánky,2024-11-04 07:48:33,2024-11-04 19:21:04,7,system,,,
273,"ASIAN VIEW, s. r. o.",Slovensko,45334528,SK2022948895,2022948895,Bratislava - mestská časť Karlova Ves,84105,5,Jamnického,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-11-04 07:48:51,2024-11-04 19:21:04,7,system,,,
274,Liasam s.r.o.,Slovensko,52210430,SK2120952240,2120952240,Bratislava - mestská časť Staré Mesto,81103,9,Svoradova,b'\x01',,Oblečenie a obuv/Móda,2024-11-04 07:49:03,2024-11-04 19:21:04,7,system,,,
275,"SULIS, s.r.o.",Slovensko,35914734,,2021931747,Bratislava - mestská časť Karlova Ves,84105,36,Majerníkova,b'\x00',,Zdravie a osobná starostlivosť/Lekári a nemocnice,2024-11-04 07:52:05,2024-11-04 19:21:04,7,system,,,
276,"CP, s.r.o.",Slovensko,36497592,SK2021878166,2021878166,Prešov,08001,16,Masarykova,b'\x01',,Auto-moto/Parkovanie,2024-11-05 18:47:18,2024-11-05 19:21:05,40,system,,,
277,Tu Anh Tran,Slovensko,43496229,SK1078447392,1078447392,Košice - mestská časť Sídlisko KVP,04023,1285,Húskova,b'\x01',21,Oblečenie a obuv/null,2024-11-06 13:30:55,2024-11-06 19:21:06,42,system,,,
